Train Loss,Validation Loss,Accuracy,Precision,Recall,F1 Score
4.532385400625375,4.170788076188829,0.1880466472303207,0.1721507720302112,0.1880466472303207,0.1534251654694224
3.8270026500408467,3.4803328249189587,0.5447035957240038,0.568610822498701,0.5447035957240038,0.5099998979845953
3.1688938250908483,2.843089871936374,0.7429543245869776,0.77661814907003,0.7429543245869776,0.7285270547359726
2.571821014697735,2.279591057035658,0.8124392614188533,0.835854109838366,0.8124392614188533,0.8052227614250292
2.0569343621914205,1.8084079689449735,0.8415937803692906,0.8574859128692867,0.8415937803692906,0.836567037942527
1.6408597872807429,1.4391060670216878,0.8683187560738581,0.8776315957644373,0.8683187560738581,0.8654617712320919
1.3216869574326735,1.1650586525599163,0.880466472303207,0.8869243149288814,0.880466472303207,0.8773608669633228
1.0888841280570396,0.966294699245029,0.8872691933916423,0.8908485656184135,0.8872691933916423,0.8838826747114423
0.9168833640905527,0.8226891722944047,0.8960155490767736,0.9005291508905305,0.8960155490767736,0.8930388374274304
0.7932436090249282,0.7181996140215132,0.8994169096209913,0.9033948326365638,0.8994169096209913,0.8963017430021614
0.7003815650939942,0.6403259436289469,0.902818270165209,0.907630133140625,0.902818270165209,0.90018834679719
0.630855732697707,0.5808601809872521,0.9052478134110787,0.9104935390639036,0.9052478134110787,0.9028784181938514
0.5786346183373378,0.5344218926297294,0.9057337220602527,0.9116384096562427,0.9057337220602527,0.9037123627220817
0.5376126078458933,0.49800119797388714,0.9062196307094267,0.9122572589929128,0.9062196307094267,0.904275886834959
0.5011147301930647,0.46838561197121936,0.9067055393586005,0.9125202864668247,0.9067055393586005,0.9048055213844919
0.4740584676082318,0.443892166018486,0.9081632653061225,0.9135579016698916,0.9081632653061225,0.9061902716993773
0.44999475387426524,0.42365650170379215,0.9071914480077745,0.9121451428135688,0.9071914480077745,0.905444560065798
0.4309178003898034,0.40610799855656093,0.9071914480077745,0.9123210336184482,0.9071914480077745,0.905307766885336
0.41167608499526975,0.3918034748898612,0.9076773566569485,0.9125721248102013,0.9076773566569485,0.9056658150803691
0.3975465458173018,0.3793271589610312,0.9076773566569485,0.9122050720345609,0.9076773566569485,0.9057154458828586
0.38483127080477203,0.36806855019595885,0.9081632653061225,0.9134054955972679,0.9081632653061225,0.9066216092293848
0.3719563213678507,0.35873983220921624,0.9091350826044704,0.9145845520602425,0.9091350826044704,0.9075551962761015
0.3615035593509674,0.3503014345963796,0.9086491739552964,0.9138040792222323,0.9086491739552964,0.9071977459679499
0.35238618713158826,0.34307263377639985,0.9105928085519922,0.9159869432700153,0.9105928085519922,0.9091350752417895
0.3443224888581496,0.33616149177153903,0.9096209912536443,0.9148916766000977,0.9096209912536443,0.9080427831918376
0.3362392728145306,0.3304645890990893,0.9105928085519922,0.9162736673126852,0.9105928085519922,0.9090819734211981
0.3297693759202957,0.3249080272184478,0.9086491739552964,0.9135433512940464,0.9086491739552964,0.9071501046809024
0.32082749880277195,0.3203406673338678,0.9091350826044704,0.9142825411752088,0.9091350826044704,0.9076603042414441
0.313469198346138,0.31602534444795716,0.9110787172011662,0.9164493009442802,0.9110787172011662,0.9096490682681458
0.30831900926736683,0.31193113865123856,0.9101068999028182,0.9151012209990471,0.9101068999028182,0.9087227484109278
0.3044422236772684,0.30841170706682736,0.9105928085519922,0.9156545174839118,0.9105928085519922,0.9092287879226818
0.2989951234597426,0.30516579498847324,0.9101068999028182,0.9150614556393493,0.9101068999028182,0.9087448066269102
0.29370356247975277,0.30233874834246105,0.9105928085519922,0.9153464890328434,0.9105928085519922,0.9093260916618495
0.2899719323103245,0.29956462730964023,0.9105928085519922,0.9155642954536575,0.9105928085519922,0.9093775541690552
0.28471510731256927,0.2971491242448489,0.9110787172011662,0.916273440395278,0.9110787172011662,0.9098031927231158
0.2793853344825598,0.2947246486114131,0.9101068999028182,0.9147542773393491,0.9101068999028182,0.9088875439763505
0.2761300041125371,0.2926645883255535,0.9096209912536443,0.9145696889842745,0.9096209912536443,0.9085145466110225
0.2738864917021531,0.2905466254386637,0.9091350826044704,0.913885776781906,0.9091350826044704,0.907757207164572
0.26958385224525744,0.2889119014143944,0.9101068999028182,0.9149128468679756,0.9101068999028182,0.9091325887435209
0.2652281990418067,0.28676210964719456,0.9101068999028182,0.9146093053626903,0.9101068999028182,0.9091647335363233
0.26125501783994526,0.28566961942447555,0.9105928085519922,0.9151253294133161,0.9105928085519922,0.9095024638895484
0.2596611052751541,0.28414920075900024,0.9096209912536443,0.9142230222216052,0.9096209912536443,0.9084437507471166
0.25573370983967414,0.2825618518723382,0.9101068999028182,0.9147685535616806,0.9101068999028182,0.9091409959128569
0.25263526256267843,0.2814253713521693,0.9101068999028182,0.9147187297635154,0.9101068999028182,0.9093138450347382
0.24943319444472972,0.2804233419398467,0.9081632653061225,0.9126924653642127,0.9081632653061225,0.9069952043777715
0.2480171588750986,0.27939440351393485,0.9086491739552964,0.9129377991122943,0.9086491739552964,0.9075514785375183
0.24336465895175935,0.2784925384653939,0.9091350826044704,0.9137568627132845,0.9091350826044704,0.9082030777483646
